,"1. Următoarele/ următoarea afirmații cu privire la fiziologia respirației sunt adevărate:
",,,,
,"   10. pacienţii cu acidoză metabolică parţial compensată, care au un pH crescut şi pCO2 scăzută, prezintă creşteri ale ventilaţiei;
",,,,
,,,,,
,"64. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
,"   1. valoarea medie pentru V40 la un subiect normal este de ~ 3,5 l/minut;
",,,,
,"   2. sensibilitatea la hipoxie este mult crescută la persoanele care au fost hipoxemice de la naştere, cum ar fi naşterea la mare altitudine sau la pacienţii cu insuficienţă cardiacă congenitală cianotică;
",,,,
,"   3. la pacienţii cu afectare pulmonară severă, comanda hipoxică a ventilaţiei își pierde din importanță;
",,,,
TRUE,"   4. valoarea medie pentru V40 la un subiect normal este de ~ 35 l/minut;
",,,,
,"   5. în cursul majorităţii formelor de efort pCO2 arterială scade;
",,,,
TRUE,"   6. în cursul majorităţii formelor de efort pCO2 arterială nu creşte;
",,,,
TRUE,"   7. o persoană sănătoasă normoponderală, care prezintă un consum maxim de oxigen de 4 l/min poate avea o ventilaţie totală de 120 l/min;
",,,,
TRUE,"   8. la pacienţii cu afectare pulmonară severă, comanda hipoxică a ventilaţiei devine foarte importantă;
",,,,
,"   9. o persoană sănătoasă normoponderală, care prezintă un consum maxim de oxigen de 4 l/min poate avea o ventilaţie totală de 12 l/min;
",,,,
TRUE,"   10. sensibilitatea la hipoxie este mult redusă la persoanele care au fost hipoxemice de la naştere, cum ar fi naşterea la mare altitudine sau la pacienţii cu insuficienţă cardiacă congenitală cianotică;
",,,,
,,,,,
,"65. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. oscilaţiile pO2 şi pCO2 în sângele arterial pot stimula chemoreceptorii periferici chiar în condiţiile în care nivelul mediu rămâne neschimbat;
",,,,
TRUE,"   2. în timpul efortului intens ventilaţia este stimulată prin creşterea concentraţiei de H+;
",,,,
TRUE,"   3. creşterea temperaturii corpului în efort stimulează ventilaţia
",,,,
,"   4. creşterea temperaturii corpului în efort inhibă ventilaţia;
",,,,
,"   5. în timpul efortului intens ventilaţia este stimulată prin scăderea concentraţiei de H+;
",,,,
,"   6. oscilaţiile pO2 şi pCO2 în sângele arterial pot inhiba chemoreceptorii periferici chiar în condiţiile în care nivelul mediu rămâne neschimbat;
",,,,
,"   7. receptori localizaţi la nivelul articulaţiilor sau muşchilor pot fi responsabili de creşterea bruscă a ventilaţiei care are loc în cursul primelor minute de efort;
",,,,
,"   8. pH-ul arterial crește la efort moderat, iar în timpul efortului intens scade datorită eliberării de acid lactic prin metabolism anaerob;
",,,,
TRUE,"   9. receptori localizaţi la nivelul articulaţiilor sau muşchilor pot fi responsabili de creşterea bruscă a ventilaţiei care are loc în cursul primelor secunde de efort;
",,,,
TRUE,"   10. pH-ul arterial rămâne constant la efort moderat, iar în timpul efortului intens scade datorită eliberării de acid lactic prin metabolism anaerob;
",,,,
,,,,,
,"66. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. reflexul de tuse poate fi declanşat şi voluntar prin influenţe provenite de la nivelul scoarţei cerebrale;
",,,,
,"   2. tusea constă într-o inspiraţie forţată urmată de o închidere a rino- şi oro-faringelui de către palatul moale, închiderea glotei, contracţia muşchilor inspiratori, şi în final deschidera glotei, cu expulzia puternică a aerului;
",,,,
,"   3. reflexele respiratorii de apărare reprezintă modalităţi de eliminare a unor agenţi străini pătrunşi în circulația pulmonară și sunt declanşate prin stimularea diverşilor receptori care se găsesc la acest nivel;
",,,,
TRUE,"   4. tusea este un reflex de apărare apărut ca urmare a stimulării mecanice, chimice sau termice a receptorilor de la nivelul căilor respiratorii şi din afara lor;
",,,,
TRUE,"   5. tusea constă într-o inspiraţie forţată urmată de o închidere a rino- şi oro-faringelui de către palatul moale, închiderea glotei, contracţia muşchilor expiratori, şi în final deschidera glotei, cu expulzia puternică a aerului;
",,,,
TRUE,"   6. reflexele respiratorii de apărare reprezintă modalităţi de eliminare a unor agenţi străini pătrunşi în arborele bronşic și sunt declanşate prin stimularea diverşilor receptori care se găsesc la acest nivel;
",,,,
,"   7. reflexul de tuse poate fi declanşat şi involuntar prin influenţe provenite de la nivelul scoarţei cerebrale;
",,,,
,"   8. strănutul este un reflex de apărare declanşat de excitarea receptorilor laringieni și constă dintr-o inspiraţie obişnuită urmată de o fază de blocare a aerului de către vălul palatin şi o expiraţie explozivă prin cavitatea bucală şi fosele nazale;
",,,,
TRUE,"   9. strănutul este un reflex de apărare declanşat de excitarea receptorilor oro-faringieni și constă dintr-o inspiraţie obişnuită urmată de o fază de blocare a aerului de către vălul palatin şi o expiraţie explozivă prin cavitatea bucală şi fosele nazale;
",,,,
,"   10. tusea este un reflex de poziție apărut ca urmare a stimulării mecanice, chimice sau termice a receptorilor de la nivelul căilor respiratorii şi din afara lor;
",,,,
,,,,,
,"67. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. în cursul inpirului participă la fonaţie muşchii abductori sau dilatatori ai glotei care, prin contracţie îndepărtează corzile vocale şi împing posterior cartilagiile aritenoide;
",,,,
,"   2. în cursul expirului participă la fonaţie muşchii abductori sau dilatatori ai glotei care, prin contracţie îndepărtează corzile vocale şi împing posterior cartilagiile aritenoide;
",,,,
TRUE,"   3. în expir participă muşchii adductori sau constrictori ai glotei care apropie corzile vocale;
",,,,
,"   4. în inspir participă muşchii adductori sau constrictori ai glotei care apropie corzile vocale;
",,,,
,"   5. emiterea sunetelor se realizează cu ajutorul atât a laringelui (organul vibrator) cât şi cu ajutorul corzilor vocale (rol fonator);
",,,,
,"   6. sughiţul este declanşat de excitarea receptorilor diafragmatici şi a unor receptori periferici ceea ce are ca răspuns contracţia spastică a diafragmului;
",,,,
TRUE,"   7. sughiţul este un reflex de apărare care constă dintr-un inspir scurt şi brusc, când glota se închide rapid, ceea ce generează un zgomot caracteristic;
",,,,
TRUE,"   8. sughiţul este declanşat de excitarea receptorilor diafragmatici şi a unor receptori centrali ceea ce are ca răspuns contracţia spastică a diafragmului;
",,,,
,"   9. sughiţul este un reflex de apărare care constă dintr-un expir scurt şi brusc, când glota se închide rapid, ceea ce generează un zgomot caracteristic;
",,,,
TRUE,"   10. emiterea sunetelor se realizează cu ajutorul atât a laringelui (organul fonator) cât şi cu ajutorul corzilor vocale (rol vibrator);
",,,,
,,,,,
,"68. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. vălul palatin permite unei părţi din aerul fonator să treacă prin fosele nazale determinând gradul de nazalizare a vocalelor;
",,,,
TRUE,"   2. în cursul vorbirii raportul inspir/expir este de 1/5-1/8;
",,,,
TRUE,"   3. vibraţiile corzilor vocale, amplificate în rezonatorul cavităţii bucale, sunt modificate în mod diferit de modul de mişcare a limbii;
",,,,
,"   4. mecanismul fonaţiei cuprinde următoarele faze: pregătirea pentru inspir, expansiunea glotei, constricţia glotei şi închiderea completă a glotei;
",,,,
TRUE,"   5. articularea sunetelor reprezintă modificările suferite de acestea la nivel supraglotic, iar sediul articulării sunetelor este cavitatea bucală cu participarea buzelor, limbii şi palatului moale;
",,,,
,"   6. vălul palatin permite ca aerul fonator să treacă în totalitate prin fosele nazale determinând gradul de nazalizare a vocalelor;
",,,,
,"   7. în cursul vorbirii raportul inspir/expir este de 2/5-2/8;
",,,,
,"   8. vibraţiile corzilor vocale, atenuate în rezonatorul cavităţii bucale, sunt modificate în mod diferit de modul de mişcare a limbii;
",,,,
TRUE,"   9. mecanismul fonaţiei cuprinde următoarele faze: pregătirea pentru expir, expansiunea glotei, constricţia glotei şi închiderea completă a glotei;
",,,,
,"   10. articularea sunetelor reprezintă modificările suferite de acestea la nivel infraglotic, iar sediul articulării sunetelor este cavitatea bucală cu participarea buzelor, limbii şi palatului moale;
",,,,
,,,,,
,"69. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. volumul total de aer care părăseşte plămânul în fiecare minut este de aproximativ 6500 ml/minut, fiind cunoscut sub numele de ventilaţie totală sau volum – minut;
",,,,
TRUE,"   2. presiunea de expansiune la vârful plămânului este mai mică;
",,,,
,"   3. chemoreceptorii periferici răspund la scăderi ale pO2 în sângele arterial, precum şi la scăderi de pH şi la creşteri de pCO2 în sângele arterial;
",,,,
TRUE,"   4. cele trei elemente care contribuie la lucrul mecanic respirator sunt reprezentate de rezistenţa elastică şi de tensiune superficială, rezistenţa la fluxul de aer a căilor aeriene cu valoare foarte mare și rezistenţa tisulară;
",,,,
TRUE,"   5. generaţia 0 este reprezentată de trahee cu o arie de secţiune de 2,3 cm pătrați, iar generaţia 1 este reprezentată de bronhia principală dreaptă şi stângă cu o suprafaţă totală de secţiune de 2,5 cm pătrați;
",,,,
,"   6. nivelurile normale ale pO2 şi pCO2 în sângele arterial sunt menţinute în mod fiziologic în limite foarte strânse prin reglarea schimbului de gaze, care esteposibilă printr-un control strict al ventilaţiei;
",,,,
TRUE,"   7. dacă subiectul examinat se află în poziţie şezândă, s-a constatat că ventilaţia / unitate de volum este mai mică la baza plămânului şi devine din ce în ce mai mică către vârful lui;
",,,,
,"   8. LCR conţine mult mai puţine proteine decât sângele, deci are o capacitate de tamponare mult mai mică;
",,,,
,"   9. principalii chemoreceptorii periferici sunt cei carotidieni şi aortici;
",,,,
,"   10. chemoreceptorii centrali răspund la modificări ale concentraţiei H+ din lichidul extracelular, creşterea concentraţiei H+ stimulând ventilaţia, pe când scăderea sa o inhibă;
",,,,
,,,,,
,"70. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
,"   1. chemoreceptorii periferici sunt unici în organism şi sunt sensibili în special la modificările pO2 în jurul valorii de 500 mmHg;
",,,,
,"   2. sistemul de control al ventilaţiei are arhitectura clasică a arcului reflex, în carereceptorii primesc informaţia şi o transmit la centrul de control din creier, care procesează informaţia şi trimite impulsuri către efectori reprezentați de muşchii respiratori;
",,,,
TRUE,"   3. modificările ariei scad către regiunea bronhiolelor terminale ce reprezintă sfârşitul căilor aeriene de conducere;
",,,,
,"   4. la nivelul sinusului carotidian se găseşte o structură hiper-specializată numită glomus (corpuscul carotidian), cu o densitate capilară foarte mare;
",,,,
TRUE,"   4. la nivelul sinusului carotidian se găseşte o structură hiper-specializată numită glomus (corpuscul carotidian), cu o densitate capilară foarte mare;
",,,,
TRUE,"   6. rezistenţa elastică şi de tensiune superficială care nu se opune expansiunii pulmonare;
",,,,
TRUE,"   7. măsurătorile efectuate la un subiect în poziţie de supinație arată că ventilaţia la vârful şi la baza plămânului sunt diferite;
",,,,
,"   8. ph-ul normal al LCR este de 7,32, iar modificările pH-ului LCR determinate de modificările pCO2 sunt comparativ mai mari decât în sânge;
",,,,
,"   9. compoziţia lichidului extracelular din jurul receptorului este influenţată de lichidul cefalo-rahidian (LCR), fluxul sanguin local şi metabolismul local;
",,,,
TRUE,"   10. apexul pulmonar are o presiune de expansiune mică, un volum de repaus mare şi modificări reduse ale volumului în cursul inspirului;
",,,,
,,,,,
,"71. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
,"   1. corpusculii carotidieni primesc un flux mare de sânge în comparaţie cu dimensiunile lor (20 ml/min/g), de unde rezultă o diferenţă arterio-venoasă a oxigenului foarte mică;
",,,,
TRUE,"   2. în poziţie de supinaţie, ventilaţia în regiunea anterioară a plămânului este mai mare decât în regiunea posterioară, iar în poziţia decubit lateral, plămânul de partea opusă este mai bine ventilat;
",,,,
,"   3. dacă pH-ul LCR este modificat pentru o perioadă mai lungă, au loc modificări compensatorii ale HCO3- ca rezultat al transportului de-a lungul barierei hemato-encefalice;
",,,,
TRUE,"   4. din cantitatea de 500 ml de aer inspirată, aproximativ 170 ml rămâne în spaţiul mort anatomic reprezentând aerul care nu participă la schimburile gazoase alveolo-capilare, adică volumul de aer prezent la nivelul căilor aeriene de conducere;
",,,,
,"   5. celulele proprii ale glomusului (două sau mai multe tipuri) sunt bogate în dopamină şi sunt considerate chemoreceptori;
",,,,
TRUE,"   6. la nivelul căilor aeriene mai jos de bronhiolele terminale aerul se mişcă parțial prin flux global (în masă) sau convecţie;
",,,,
,"   7. LCR are o importanţă specială în reglarea ventilației fiind separat de sânge prin bariera hemato-encefalică, care este relativ impermeabilă la H+ şi HCO3-, însă CO2 difuzează cu ușurință prin aceasta;
",,,,
FALSE,"   8. o scădere a pCO2 în sângele arterial ca urmare a creşterii activităţii efectorilor va determina o scădere a informaţiei către creier;
",,,,
TRUE,"   9. rezistenţa la fluxul de aer a căilor aeriene are valoare foarte scăzută în condiții fiziologice, însă poate scădea mult în afecţiuni pulmonare;
",,,,
TRUE,"   10. diferenţele regionale ale ventilaţiei nu constau în modificări ale volumului per unitate de volum rezidual;
",,,,
,,,,,
,"72. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
,"   1. CO2 difuzează din vasele cerebrale în LCR unde eliberează H+, care stimulează chemoreceptorii producându-se hiperventilaţie, care reduce pCO2 în sânge, în consecinţă şi în LCR;
",,,,
TRUE,"   2. viteza aerului inspirat crește rapid când aerul pătrunde în zona respiratorie, fenomen ce reprezintă difuzia gazoasă datorată mişcării aleatorii a moleculelor de gaz;
",,,,
,"   3. chemoreceptorii sesizează modificări de compoziţie chimică în lichidul cu care vin în contact (interstiţial sau intracavitar), care în unele cazuri reflectă nemijlocit modificări de la nivel sanguin;
",,,,
,"   4. celulele proprii ale glomusului ar putea funcţiona şi ca interneuroni inhibitori pentru terminaţiile neuronale de la nivelul sinusului carotidian (nervul Hering, ram al nervului glosofaringian);
",,,,
,"   5. modificarea pH-ului în LCR are loc mult mai prompt decât a pH-ului în sângele arterial prin mecanism compensator renal, proces care durează câteva zile;
",,,,
TRUE,"   6. rezistenţa tisulară rezultă din forţele de frecare care se opun mişcării stratului de ţesut pulmonar şi pleural unul peste altul în cursul colabării pulmonare;
",,,,
TRUE,"   7. cu toate că baza plămânului este relativ puţin expansionată în comparaţie cuapexul, ea este ventilată mai puțin;
",,,,
TRUE,"   7. cu toate că baza plămânului este relativ puţin expansionată în comparaţie cuapexul, ea este ventilată mai puțin;
",,,,
,"   9. corpusculii carotidieni sunt influenţaţi numai de pO2 din sângele arterial, deoarece practic nu vin în contact cu sânge venos;
",,,,
TRUE,"   10. volumul de aer din spațiul mort depinde de înălţimea subiectului şi scade în cazul inspirului profund datorită tracţiunii exercitate asupra bronhiilor de către parenchimul pulmonar înconjurător;
",,,,
,,,,,
,"73. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. rata de difuzie a moleculelor de gaze respiratorii este redusă în zona respiratorie, iar distanţa pe care o parcurge gazul este suficient de mică astfel încât diferenţele de concentraţie de-a lungul căilor aeriene terminale sunt estompate într-o secundă;
",,,,
TRUE,"   2. presiunea intrapleurală este mai puţin negativă la vârful plămânului în comparaţie cu cea de la baza plămânului;
",,,,
,"   3. cei mai importanţi chemoreceptori centrali implicaţi în controlul permanent al ventilaţiei sunt cei situaţi lângă suprafaţa ventrală a bulbului, în vecinătatea ieşirii nervilor IX şi X;
",,,,
,"   4. resetarea parţială a pH-ului în LCR în comparaţie cu pH-ul sanguin se realizează prin influenţa sa predominantă asupra ventilaţiei şi a CO2 arterial;
",,,,
,"   5. vasodilataţia cerebrală care însoţeşte creşterea pCO2 în sângele arterial creşte rata de difuziune a CO2 în LCR şi în lichidul extracelular de la nivelul creierului;
",,,,
TRUE,"   6. volumul de aer proaspăt care ajunge în zona respiratorie în fiecare minut este de aproximativ 5250 ml/minut şi poartă numele de ventilaţie bronhiolară;
",,,,
TRUE,"   7. după un expir maxim volumul pulmonar se află în domeniul volumului rezidual, iar în această situaţie, presiunile intra-pleurale sunt mai puţin negative deoarece plămânul nu este atât de bine expansionat şi forţele de recul elastic sunt mai mari;
",,,,
,"   8. impulsurile generate la nivelul terminaţiilor nervoase de la nivelul sinusului carotidian eliberează un transmiţător excitator pentru celulele glomusului, determinând eliberarea de dopamină, cu acţiune inhibitorie asupra terminaţiei nervoase care a determinat de fapt activarea iniţială a acestui mecanism;
",,,,
TRUE,"   9. în condiţii normale rezistenţa elastică şi de tensiune superficială este inferioară faţă de rezistenţa la fluxul de aer a căilor aeriene și rezistenţa tisulară;
",,,,
,"   10. chemoreceptorii periferici sunt responsabili pentru toate creşterile ventilaţiei care au loc în organism ca răspuns la hipoxemie;
",,,,
,,,,,
,"74. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. reacţia chemoreceptorilor periferici la variaţiile pCO2 este mult mai importantă decât cea a chemoreceptorilor centrali;
",,,,
TRUE,"   2. centrului inspirator bulbar este permanent controlat de alţi nuclei respiratori bulbo- pontini şi influenţat de diverse structuri nervoase corticale şi subcorticale care nu permit integrarea vegetativ-emoţională;
",,,,
TRUE,"   3. principalul efect reflex al stimulării receptorilor de întindere este creșterea frecvenţei respiratorii ca urmare a unei creşteri a duratei expirului;
",,,,
,"   4. centrul pneumotaxic se găseşte în porţiunea superioară a punţii;
",,,,
,"   5. valoarea medie pentru V40 la un subiect normal este de ~ 35 l/minut;
",,,,
TRUE,"   6. impulsurile provenite de la receptori articulari şi musculari de la nivelul membrelor în cursul mişcării participă la stimularea ventilaţiei în timpul efortului, în special în stadiile tardive;
",,,,
TRUE,"   7. distensia capilarelor pulmonare şi scăderea volumului lichidului interstiţial activează receptorii juxtacapilari;
",,,,
,"   8. ritmul intrinsec al ariilor inspiratorii începe cu o perioadă de latenţă de câteva secunde în timpul căreia nu există nici o activitate;
",,,,
FALSE,"   9. pH-ul arterial rămâne constant la efort moderat, iar în timpul efortului intens scade datorită eliberării de acid lactic prin metabolism anaerob;
",,,,
,"   10. cel mai important factor în controlul ventilaţiei în condiţii normale este pCO2 din sângele arterial;
",,,,
,,,,,
,"75. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
FALSE,"   1. tonusul muşchilor inspiratori poate fi redus prematur prin impulsurile inhibitoare venite de la centrul pneumotaxic;
",,,,
TRUE,"   2. controlul voluntar al inspirului şi expirului se bazează pe comenzi de la cortexul cerebral transmise motoneuronilor beta ce inervează muşchii respiratori, în paralel cu comenzile adecvate către centrii respiratori bulbo-pontini;
",,,,
TRUE,"   3. receptorii de iritaţie pot juca un rol important în bronhoconstricţia din criza de astm ca rezultat a răspunsului lor la eliberarea de noradrenalină;
",,,,
,"   4. centrul pneumotaxic are rolul de a termina sau de a inhiba inspirul şi astfel reglează volumul inspirator şi secundar frecvenţa respiratorie;
",,,,
TRUE,"   5. la om corpusculii carotidieni (dar nu şi cei din arcul aortic) răspund diferit la creșteri ale pH-ului arterial în funcţie de cauza respiratorie sau metabolică a modificărilor de pH;
",,,,
TRUE,"   6. principalul efect reflex al stimulării receptorilor de întindere este creșterea frecvenţei respiratorii ca urmare a unei creşteri a duratei expirului;
",,,,
,"   7. în timpul efortului intens ventilaţia este stimulată prin creşterea concentraţiei de H+;
",,,,
TRUE,"   8. receptorii J contribuie la creşterea frecvenţei cardiace din cursul efortului;
",,,,
,"   9. în cursul activităţii zilnice, cu perioade de odihnă şi de efort, pCO2 arterială este menţinută la valoarea de 3 mm Hg;
",,,,
,"   10. sensibilitatea la hipoxie este mult redusă la persoanele care au fost hipoxemice de la naştere, cum ar fi naşterea la mare altitudine sau la pacienţii cu insuficienţă cardiacă congenitală cianotică;
",,,,
,,,,,
,"76. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. activarea chemoreceptorilor prin scăderea pO2 arterial este inhibată de creşterea pCO2 (scăderea de pH la nivelul corpusculului carotidian);
",,,,
,"   2. aria expiratorie este “tăcută” în timpul respiraţiei obişnuite deoarece ventilaţia este datorată contracţiei active a muşchilor inspiratori, urmată de revenirea pasivă a peretelui toracic la poziţia iniţială;
",,,,
TRUE,"   3. muşchii intercostali şi diafragmul conţin fusuri neuromusculare care sunt sensibile la alungirea muşchiului, iar informaţia plecată de la nivelul fusurilor neuro-musculare este utilizată pentru a controla reflex relaxarea acestora;
",,,,
TRUE,"   4. periodicitatea inspirului şi expirului este controlată de neuroni localizaţi în punte şi cortex;
",,,,
,"   5. chemoreceptorii centrali cresc ventilaţia pentru a menţine pCO2 arterială constantă printr-un puternic feed- back negativ;
",,,,
TRUE,"   6. blocarea tranzitorie bilaterală a nervilor vagi prin anestezie locală la pacienţii conştienţi poate determina stop respirator;
",,,,
,"   7. receptori localizaţi la nivelul articulaţiilor sau muşchilor pot fi responsabili de creşterea bruscă a ventilaţiei care are loc în cursul primelor secunde de efort;
",,,,
TRUE,"   8. receptorii de iritaţie se găsesc la nivelul celulelor epiteliale din circulația pulmonară şi sunt stimulaţi de gaze toxice, fumul de ţigară, pulberi inhalate şi aerul rece;
",,,,
,"   9. rolul centrului pneumotaxic este doar de regla fin ritmul respirator, deoarece un ritm normal poate exista şi în absenţa acestui centru;
",,,,
,"   10. la pacienţii cu afectare pulmonară severă, comanda hipoxică a ventilaţiei devine foarte importantă;
",,,,
,,,,,
,"77. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. receptorii pulmonari de întindere se găsesc la nivelul musculaturii striate a căilor aeriene fiind activaţi ca răspuns la distensia plămânului şi prezentând o activitate susţinută când plămânul este umplut cu aer;f
",,,,
TRUE,"   2. scăderea presiunii arteriale poate produce reflex hipoventilaţie sau apnee prin stimularea baroreceptorilor aortici şi din sinusul carotidian;
",,,,
,"   3. centrul apneustic se găseşte în partea partea inferioară a punţii, iar distrucția acestuia produce un inspir prelungit întretăiat de eforturi expiratorii tranzitorii;
",,,,
,"   4. pacienţii cu acidoză metabolică parţial compensată, care au un pH scăzut şi pCO2 scăzută, prezintă creşteri ale ventilaţiei;
",,,,
TRUE,"   5. receptorii juxtacapilari (receptori J) se găsesc în peretele alveolar lângă capilare, iar impulsurile care pleacă de la aceşti receptori merg pe calea nervului vag, rapid, prin fibre nemielinizate şi determină respiraţie rapidă, superficială;
",,,,
,"   6. oscilaţiile pO2 şi pCO2 în sângele arterial pot stimula chemoreceptorii periferici chiar în condiţiile în care nivelul mediu rămâne neschimbat;
",,,,
TRUE,"   7. grupul respirator dorsal este asociat în principal cu expirul, iar grupul respirator ventral este asociat în principal cu inspirul;
",,,,
,"   8. prin hiperventilaţie voluntară pCO2 în sângele arterial poate fi redusă la jumătate, dar alcaloza consecutivă poate produce spasm carpopedal;
",,,,
,"   9. o persoană sănătoasă normoponderală, care prezintă un consum maxim de oxigen de 4 l/min poate avea o ventilaţie totală de 120 l/min;
",,,,
TRUE,"   10. efectul reflex mediat de receptorii de iritație include bronhoconstricţie şi bradipnee;
",,,,
,,,,,
,"78. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt false:
",,,,
TRUE,"   1. durerea poate induce o perioadă de apnee urmată de hipoventilaţie;
",,,,
TRUE,"   2. stimularea intensă a receptorilor juxtacapilari produce hiperpnee;
",,,,
TRUE,"   3. neuronii din aria inspiratorie sunt responsabili pentru ritmul de bază al ventilaţiei, pe baza activităţii voluntare a acestui centru;
",,,,
,"   4. durata apneei voluntare este limitată de diverşi factori, inclusiv nivelul arterial de O2 şi CO2;
",,,,
TRUE,"   5. calea aferentă a reflexului mediat de receptorii de iritație este reprezentată de nervul glosofaringian;
",,,,
,"   6. în cursul majorităţii formelor de efort pCO2 arterială nu creşte;
",,,,
TRUE,"   7. impulsurile generate la nivelul receptorilor pulmonari de întindere merg pe calea nervului vag prin fibre groase nemielinizate;
",,,,
,"   8. impulsurile de la centrul apneustic au un efect excitator asupra ariei inspiratorii din bulb;
",,,,
,"   9. locul principal de acţiune al pH-ului scăzut este la nivelul chemoreceptorilor, în special din corpusculul carotidian, însă este posibil ca şi chemoreceptorii centrali sau chiar centrii respiratori să fie afectaţi de modificările pH-ului sanguin;
",,,,
,"   10. creşterea temperaturii corpului în efort stimulează ventilaţia
",,,,
,,,,,
,"79. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
FALSE,"   1. sângele de tip venos, sărac în O2 şi bogat în CO2, este adus prin arterele pulmonare şi ramurile lor până în capilarele sistemice unde are loc hematoza pulmonară;
",,,,
TRUE,"   2. hematoza pulmonară asigură eliminarea de CO2 din organism şi saturarea cu O2 a sângelui ce va ajunge prin venele pulmonare în atriul stâng şi va fi apoi pompat de ventriculul stâng în întregul organism;
",,,,
FALSE,"   3. deoarece volumul de aer din alveole este de aproximativ 1 l la sfârşitul fiecărui expir (capacitatea reziduală funcţională), fiecare creştere cu 350 ml a aerului inspirat sau expirat modifică pO2 şi pCO2 foarte puţin;
",,,,
TRUE,"   4. primii 150 ml de aer expirat reprezintă aerul alveolar, dar întotdeauna se produce un amestec la interfaţa dintre aerul care se găseşte în spaţiul mort anatomic şi aerul alveolar;
",,,,
TRUE,"   5. O2 conţinut în aerul alveolar difuzează continuu în sânge, iar CO2 din sânge trece în alveole, conform diferenţelor de presiune parţială;
",,,,
,"   6. primii 150 ml de aer expirat reprezintă aerul alveolar, dar întotdeauna se produce un amestec la interfaţa dintre aerul care se găseşte în spaţiul mort anatomic şi aerul alveolar;
",,,,
TRUE,"   7. sângele de tip venos, sărac în O2 şi bogat în CO2, este adus prin arterele pulmonare şi ramurile lor până în capilarele pulmonare unde are loc hematoza pulmonară;
",,,,
TRUE,"   8. deoarece volumul de aer din alveole este de aproximativ 2 l la sfârşitul fiecărui expir (capacitatea reziduală funcţională), fiecare creştere cu 350 ml a aerului inspirat sau expirat modifică pO2 şi pCO2 foarte puţin;
",,,,
FALSE,"   9. O2 conţinut în aerul alveolar difuzează intermitent în sânge, iar CO2 din sânge trece în alveole, conform diferenţelor de presiune parţială;
",,,,
,"   10. hematoza pulmonară asigură eliminarea de CO2 din organism şi saturarea cu O2 a sângelui ce va ajunge prin cele 2 vene pulmonare în atriul stâng şi va fi apoi pompat de ventriculul stâng în întregul organism;
",,,,
,,,,,
,"80. Următoarele/ următoarea afirmații cu privire la sistemul respirator sunt adevărate:
",,,,
TRUE,"   1. difuzia asigură în condiţii normale o creştere a pO2 în sânge până la 97 mm Hg, o valoare apropiată de cea a pO2 alveolare, însă această valoare scade la 95 mm Hg în aortă din cauza şuntului fiziologic;
",,,,
,"   2. capacitatea de difuzie a plămânilor pentru oxigen are o valoare de 50-60 (ml/min/mmHg) în repaus;
",,,,
FALSE,"   3. difuzia asigură în condiţii normale o creştere a pO2 în sânge până la 140 mm Hg, o valoare apropiată de cea a pO2 alveolare, însă această valoare scade la 100 mm Hg în aortă din cauza şuntului fiziologic;
",,,,
TRUE,"   4. mişcarea O2 se realizează strict prin difuzie, în sensul gradientului presional;
",,,,
,"   5. pO2 a aerului alveolar este de 160 mm Hg iar în artera pulmonară este de 40 mm Hg;
",,,,
,"   6. în cursul efortului, capacitatea pulmonară de difuzie pentru O2 poate ajunge la o valoare 95 ml/min/mmHg datorită dilataţiei capilare şi a creşterii numărului de capilare active;
",,,,
TRUE,"   7. pO2 a aerului alveolar este de 100 mm Hg iar în artera pulmonară este de 40 mm Hg;
",,,,
TRUE,"   8. capacitatea de difuzie a plămânilor pentru oxigen reprezintă cantitatea de oxigen care străbate membrana alveolo-capilară per minut per diferenţă de pO2 (mmHg) între aerul alveolar şi sângele din capilarele pulmonare și are o valoare de 20-30 (ml/min/mmHg) în repaus;
",,,,
TRUE,"   9. în cursul efortului, capacitatea pulmonară de difuzie pentru O2 poate ajunge la o valoare 65 ml/min/mmHg datorită dilataţiei capilare şi a creşterii numărului de capilare active;
",,,,
,"   10. mişcarea O2 se realizează strict prin difuzie, în sens invers gradientului presional;
",,,,
,,,,,
