,"6. Are formă de piramidă triunghiulara cu 3 feţe, 4 margini, o bază şi un vârf
"
,"7. Prezinta o postero-inferioara (cerebeloasă)
"
,"8. Prezinta o fata antero-inferioara (cerebrală)
"
,"9. Mai poarta numele de cercul timpanal
"
TRUE,"10. Feţele superioare (două) sunt situate endocranian
"
,
,"78. Fata antero-superioara a stancii temporalului prezinta:
"
,"1. In jurul hiatusului lui Fallope, există 2-3 hiatusuri accesorii mai mari
"
TRUE,"2. In partea internă o fosetă gasseriană unde se gaseste ganglionul lui Gasser
"
,"3. Intre foseta gasseriană şi eminenţa arcuată este hiatusul lui Fallope prin care trece nervul pietros profund
"
TRUE,"4. Porţiunea din faţa eminenţei arcuate, tegmen timpani care formează plafonul casei timpanului.
"
TRUE,"5. In jurul hiatusului lui Fallope, există 2-3 hiatusuri accesorii mai mici
"
FALSE,"6. La unirea 1/3 interne cu 2/3 externe este eminenţa arcuată
"
TRUE,"7. Intre foseta gasseriană şi eminenţa arcuată este hiatusul lui Fallope prin care trece nervul pietros superficial
"
TRUE,"8. La unirea 2/3 interne cu 1/3 externe este eminenţa arcuate
"
,"9. Porţiunea din faţa eminenţei arcuate, tegmen timpani care formează planseul casei timpanului
"
,"10. In partea externa o fosetă gasseriană unde se gaseste ganglionul lui Gasser
"
,
,"79. Fata postero- superioara a stancii temporalului:
"
TRUE,"1. Prezinta cel mai extern ,un şanţ larg prin care trece porţiunea verticală a sinusului venos lateral.
"
,"2. La 10 mm în afara găurii auditive (meatului auditiv extern) este foseta uncveală
"
,"3. La unirea 2/3 interne cu 1/3 externe este meatul auditiv intern
"
,"4. Prezinta cel mai intern ,un şanţ larg prin care trece porţiunea verticală a sinusului venos lateral.
"
TRUE,"5. La 10 mm în afara găurii auditive (meatului auditiv intern) este foseta uncveală
"
TRUE,"6. La 5-6 mm în afară, foseta subarcuată prin care trece o prelungire a durei mater
"
TRUE,"7. Prezintă intern un şanţ pentru sinusul venos pietros inferior
"
TRUE,"8. La unirea 1/3 interne cu 2/3 externe este meatul auditiv intern
"
,"9. La 5-6 mm în afară, foseta subarcuată prin care trece o prelungire a piei mater
"
,"10. Prezintă intern un şanţ pentru sinusul venos pietros superior
"
,
,"80. Despre osul timpanal putem afirma:
"
,"1. Marginea interna rugoasă pe care se inseră cartilajul conductului auditiv extern
"
,"2. Marginea superioară se articulează cu stânca extern, iar intern cu solzul
"
,"3. Marginea superioara ascuţită, prezintă în porţiunea mijlocie apofiza vaginală a stiloidei
"
,"4. Are o faţa anterioară liberă şi convexa
"
TRUE,"5. Marginea inferioară ascuţită, prezintă în porţiunea mijlocie apofiza vaginală a stiloidei
"
TRUE,"6. Marginea internă formează în partea superioară cu tegmen timpani, orificiul extern osos al trompei lui Eustache.
"
TRUE,"7. Marginea externă rugoasă pe care se inseră cartilajul conductului auditiv extern
"
,"8. Marginea externa formează în partea superioară cu tegmen timpani, orificiul extern osos al trompei lui Eustache
"
TRUE,"9. Marginea superioară se articulează cu stânca intern, iar extern cu solzul
"
TRUE,"10. Are o faţa anterioară liberă şi concave
"
,
,"81. Despre osul parietal putem afirma:
"
,"1. Unghiul antero-posterior – la intersecţia celor 2 parietale şi frontalul – prezintă punctul craniometric „lambda”
"
,"2. Este un os nepereche
"
TRUE,"3. Unghiul postero-superior – la intersecţia parietalelor cu occipitalul; prezintă punctul craniometric „lambda”
"
,"4. Unghiul postero-inferior – la intersecţia dintre parietal, occipital şi solzul temporalului; prezintă punctul craniometric „bregma”.
"
TRUE,"5. Unghiul antero-posterior – la intersecţia celor 2 parietale şi frontalul – prezintă punctul craniometric „bregma”
"
TRUE,"6. Unghiul postero-inferior – la intersecţia dintre parietal, occipital şi solzul temporalului; prezintă punctul craniometric „asterion”.
"
,"7. Unghiul antero-inferior – la intersecţia dintre parietal, temporal şi marea aripă a sfenoidului. Prezintă punctul craniometric „asterion”
"
,"8. Unghiul postero-superior – la intersecţia parietalelor cu occipitalul; prezintă punctul craniometric „asterion ”
"
TRUE,"9. Este un os pereche
"
TRUE,"10. Unghiul antero-inferior – la intersecţia dintre parietal, temporal şi marea aripă a sfenoidului. Prezintă punctul craniometric „pterion”
"
,
,"82. Despre osul parietal putem afirma:
"
TRUE,"1. Marginea inferioară se articulează cu solzul temporalului, rezultând sutura scuamoasă.
"
,"2. Marginea anterioară se articulează cu frontalul si formeaza sutura sagitala.
"
TRUE,"3. Marginea posterioară se articulează cu occipitalul si formeaza sutura lambdoidă
"
,"4. Marginea inferioară se articulează cu solzul temporalului, rezultând sutura coronara.
"
,"5. Face parte din viscerocraniu
"
,"6. Marginea posterioară se articulează cu occipitalul si formeaza sutura sagitala
"
,"7. Marginea superioară se articulează cu marginea superioară a osului opus si formeaza sutura coronara.
"
TRUE,"8. Face parte din neurocraniu
"
TRUE,"9. Marginea superioară se articulează cu marginea superioară a osului opus si formeaza sutura sagitală.
"
TRUE,"10. Marginea anterioară se articulează cu frontalul si formeaza sutura coronară.
"
,
,"83. Osul frontal:
"
,"1. Pe foseta trohleara se află scripetele de reflexie al muşchiului oblic inferior.
"
TRUE,"2. Pe foseta lacrimală este glanda lacrimală.
"
,"3. Pe foseta lacrimală este se afla scripetele de reflexie al muschiului oblic superior
"
,"4. Prin canalul etmoidal anterior, trece artera etmoidală posterioară şi nervul sfenoetmoidal Luschka.
"
,"5. Prin canalul etmoidal posterior, trece nervul etmoidal anterior şi artera etmoidală anterioară.
"
TRUE,"6. Prin canalul etmoidal posterior, trece artera etmoidală posterioară şi nervul sfenoetmoidal Luschka.
"
TRUE,"7. De o parte şi de alta a şanţului etmoidal, există 2 fose orbitare.
"
TRUE,"8. Prin canalul etmoidal anterior, trece nervul etmoidal anterior şi artera etmoidală anterioară.
"
FALSE,"9. De o parte şi de alta a şanţului etmoidal, există 2 fose olfactive.
"
TRUE,"10. Pe foseta trohleara se află scripetele de reflexie al muşchiului oblic superior.
"
,
FALSE,"84. Despre fata anterioara a osului frontal putem afirma că:
"
FALSE,"1. Prezintă o proieminenţă – bosa parietală
"
TRUE,"2. In partea cea mai externă, există 2 suprefeţe triunghiulare
"
TRUE,"3. Superior de glabella exista – o depresiune supraglabelară cu un punct craniometric numit ophryon
"
TRUE,"4. Prezintă pe linia mediană urmele unei suturi: sutura metopică
"
FALSE,"5. In apropiere de marginea superioară, există nişte depresiuni date de granulaţiile lui Pacchioni
"
FALSE,"6. Prezintă pe linia mediană, cel mai anterior, o proeminenţă – spina nazală a frontalului.
"
TRUE,"7. Deasupra suturii metopice există o proeminenţă (bosă) – bosa frontală mediană sau glabella
"
FALSE,"8. Se articulează cu oasele proprii ale nasului
"
FALSE,"9. In spatele spinei nazale există un şanţ în formă de „U” cu deschiderea posterioară, numit şanţul etmoidal
"
TRUE,"10. De o parte şi alta a liniei mediene avem bosele frontale laterale
"
,
FALSE,"85. Osul parietal prezinta:
"
TRUE,"1. Marginea anterioară – se articulează cu frontalul
"
FALSE,"2. Se articulează cu oasele proprii ale nasului
"
FALSE,"3. In spatele spinei nazale există un şanţ în formă de „U” cu deschiderea posterioară, numit şanţul etmoidal
"
TRUE,"4. In apropiere de marginea superioară, există nişte depresiuni date de granulaţiile lui Pacchioni
"
TRUE,"5. Fata externa prezintă o proieminenţă – bosa parietală
"
TRUE,"6. Unghiul postero-superior – la intersecţia parietalelor cu occipitalul
"
TRUE,"7. Prezintă o proieminenţă – bosa parietală
"
TRUE,"8. Marginea inferioară care se articulează cu solzul temporalului
"
FALSE,"9. Prezintă pe linia mediană, cel mai anterior, o proeminenţă – spina nazală a frontalului.
"
TRUE,"10. Fata interna prezintă în centrul său o fosă parietală
"
,
FALSE,"86. Despre osul maxilar putem afirma că:
"
TRUE,"1. Face parte din viscerocraniu
"
TRUE,"2. Are 4 apofize( palatină, piramidală, montantă,alveolară)
"
FALSE,"3. Se articulează cu osul occipital
"
FALSE,"4. Are 4 fețe și 3 margini
"
FALSE,"5. Are 3 apofize( palatină, montantă,alveolară)
"
FALSE,"6. Face parte din neurocraniu
"
TRUE,"7. Este un os pereche
"
TRUE,"8. Se articulează cu frontalul
"
TRUE,"9. Se articulează cu osul lacrimal
"
,"10. Are 2 fețe
"
,
,"87. Despre apofiza palatina a maxilarului putem afirma:
"
TRUE,"1. Formează cea mai mare parte a planşeului nazal şi a plafonului bucal
"
TRUE,"2. Fata inferioara formează împreună cu apofiza de partea opusă, ¾ anterioare ale palatului dur
"
TRUE,"3. Faţa inferioară este rugoasă
"
,"4. Formează o mica parte a planşeului nazal
"
TRUE,"5. Faţa superioară este neteda si formează planşeul nazal
"
,"6. Formă triunghiulara
"
,"7. Faţa superioara este rugoasă
"
,"8. Fata superioara formează împreună cu apofiza de partea opusă, ¾ posterioare ale palatului dur
"
TRUE,"9. Formă patrulateră, cu 2 feţe şi 4 margini
"
TRUE,"10. Faţa superioară este netedă si formează planşeul nazal
"
,
,"88. Despre faţa externă a maxilarului putem spune ca:
"
,"1. In fata bosei canine – fosa canină
"
TRUE,"2. Îndărătul fosei canine – apofiză triunghiulară – apofiza piramidală a maxilarului (apofiza zigomatică)
"
,"3. Prezintă antere-extern foseta mirtiformă – m. incisiv
"
TRUE,"4. Prezintă anterior foseta mirtiformă – m. mirtiform
"
TRUE,"5. În spatele bosei canine – fosa canină
"
,"6. Îndărătul fosei canine – apofiză patrulatera– apofiza piramidală a maxilarului (apofiza zigomatică)
"
,"7. Anterior de foseta mirtiformă – bosa canină dată de rădăcina caninului superior
"
TRUE,"8. Prezinta anterior foseta incisiva-m mirtiform
"
,"9. Prezinta anterior foseta canina
"
,"10. Posterior de foseta mirtiformă – bosa canină dată de rădăcina caninului superior.
"
,
,"89. Despre marginile maxilarului se poate afirma ca:
"
,"1. Marginea anterioara prezinta inferior – marginea anterioară a apofizei montante a maxilarului
"
,"2. Marginea superioară se articulează dinainte îndărăt cu: osul lacrimal, choane, apofiza orbitară a palatinului
"
TRUE,"3. Marginea superioară se articulează dinainte îndărăt cu: osul lacrimal, etmoid, apofiza orbitară a palatinului
"
TRUE,"4. Marginea anterioară in mijloc prezinta incizura nazala
"
TRUE,"5. Marginea inferioară (apofiza alveolară) este arcuată, concavă posterior şi prezintă alveole
"
,"6. Sunt in numar de 3
"
,"7. Marginea anterioară in mijloc prezinta incizura mirtiforma
"
TRUE,"8. Sunt in numar de 4
"
TRUE,"9. Marginea anterioara prezinta superior marginea anterioară a apofizei montante a maxilarului
"
,"10. Marginea inferioară (apofiza palatina) este arcuată, concavă posterior
"
,
,"90. Apofiza montantă a maxilarului prezintă:
"
,"1. O faţă interna care prezintă creasta lacrimală anterioară.
"
,"2. O margine anterioara – se articulează cu osul lacrimal
"
TRUE,"3. O faţă externă care prezintă creasta lacrimală anterioară.
"
TRUE,"4. O margine anterioară – se articulează cu oasele proprii ale nasului
"
,"5. O margine posterioara – se articulează cu oasele proprii ale nasului
"
TRUE,"6. Un vârf – se articulează cu frontalul
"
,"7. O faţă externa – face parte din peretele extern al foselor nazale
"
TRUE,"8. O margine posterioară – se articulează cu osul lacrimal
"
TRUE,"9. O faţă internă – face parte din peretele extern al foselor nazale
"
,"10. Un vârf – se articulează cu oasele nazale
"
,
,"91. Despre mandibula putem afirma ca:
"
,"1. Corpul mandibulei prezinta 3 fete
"
,"2. Este un os par
"
,"3. Face parte in neurocraniu
"
TRUE,"4. Face parte din viscero craniu
"
,"5. Este un os nesimetric
"
,"6. este un os pereche
"
TRUE,"7. Este format dintr-un corp si 2 ramuri
"
TRUE,"8. Este un os impar
"
TRUE,"9. Este un os median
"
TRUE,"10. Este un os simetric
"
,
,"92. Despre linia oblica externa putem afirma:
"
,"1. Se insera muschiul patratul buzelor
"
,"2. se insera muschiul scalen mare
"
TRUE,"3. Se insera triunghiularul buzelor
"
TRUE,"4. Se insera pielosul gatului
"
TRUE,"5. Este oblică în sus şi în afară
"
TRUE,"6. Se termină pe marginea anterioară a ramurii montante a mandibulei
"
,"7. Se insera muschiul triunghiulbarbiei
"
,"8. Se termină pe marginea posterioara a ramurii montante a mandibulei
"
TRUE,"9. Se insera patratul barbiei
"
,"10. Este oblică în jos şi în afară
"
,
,"93. Referitor la apofiza coronoida putem afirma ca:
"
,"1. Baza ei nu face corp comun cu osul.
"
,"2. Este ascuţită cu o direcţie în jos şi înainte
"
TRUE,"3. Este ascuţită cu o direcţie în sus şi înainte
"
,"4. Este proeminenta anterioara a marginii superioare a maxilarului
"
TRUE,"5. Baza ei face corp comun cu osul.
"
TRUE,"6. Este triunghiulară
"
TRUE,"7. Este proeminenta anterioara a marginii superioare
"
,"8. Pe faţa laterală se inseră muschiul temporal
"
,"9. Se articuleaza cu osul maxilar
"
TRUE,"10. Este plană
"
,
,"94. Osul zigomatic: 
"
TRUE,"1. Are formă patrulateră
"
,"2. Este situat in partea inferioara a fetei
"
,"3. Prezinta 4 fete
"
TRUE,"4. Prezinta 4 margini
"
,"5. Are 2 unghiuri
"
TRUE,"6. Prezinta 2 feţe
"
,"7. Este situat în partea post-lat a feţei
"
,"8. Este o lamă osoasă verticală
"
,"9. Are forma triunghiulara
"
TRUE,"10. Contribuie la formarea orbitei
"
,
,"95. Despre marginea orbitara a zigomaticului putem afima ca:
"
TRUE,"1. Formează partea infero-lateral a rebordului orbitar
"
TRUE,"2. Este concavă înăuntru şi în sus
"
,"3. Este marginea postero-inferioara
"
TRUE,"4. Este marginea antero-superioara
"
,"5. Este convexa
"
TRUE,"6. Prezinta tuberculul orbitar al lui Whitnall
"
TRUE,"7. De pe această margine ia naştere o apofiză lamelară - apofiza frontală
"
,"8. Este dantelata
"
,"9. Da insertie fasciei muschiului temporal
"
,"10. Formeaza partea superioara a orbitei
"
,
,"96. Osul lacrimal:
"
,"1. Prezinta 4 fete
"
,"2. Este plasat post. în cavitatea nazală,între maxilar şi apofiza pterigoidă a sfenoidului
"
,"3. Este situat in partea posterioara a peretelui intern al orbitei
"
,"4. Are forma literei L
"
,"5. Ia parte la formarea foselor pterigo-maxilară şi pterigoidă
"
TRUE,"6. Este situat în partea ant a peretelui int al orbitei
"
TRUE,"7. Participa la formarea canalului lacrimo-nazal
"
TRUE,"8. Are forma patrulatera
"
TRUE,"9. Prezintă 2 feţe şi 4 margini
"
TRUE,"10. Este o mică şi fragilă lamă osoasă
"
,
,"97. Fața antero-externă a osului zigomatic:
"
,"1. Prin foramen zygomatico-facial trece nervul mandibular
"
TRUE,"2. Prin foramen zygomatico-facial trece nervul zigomatico-facial
"
,"3. Superior rebordului orbitar se observă orificiul canalului temporo-zigomatic
"
,"4. Este concava şi netedă, situată sub pielea pomeţilor.
"
TRUE,"5. Se inseră muşchiul marele zigomatic(posterior)
"
TRUE,"6. Este convexă şi netedă, situată sub pielea pomeţilor.
"
TRUE,"7. Inferior rebordului orbitar se observă orificiul canalului temporo-zigomatic
"
,"8. Se insera muschiul micul zigomatic(posterior)
"
TRUE,"9. Se insera muschiul micul zigomatic(anterior)
"
,"10. Se inseră muşchiul marele zigomatic(anterior)
"
,
,"98. Fata postero-internă a osului zigomatic:
"
,"1. Cuprinde 2 segmente (extern si intern)
"
TRUE,"2. Segmentul anterior prin care osul malar se articulează cu vârful truncheat al apofizei zigomatice a maxilei
"
,"3. Segmentul anterior este neteda,de formă triunghiulară
"
TRUE,"4. Segmentul posterior in raport cu fosa infratemporală în jos
"
TRUE,"5. Segmentul anterior este rugos,de formă triunghiulară
"
TRUE,"6. Segmentul posterior în raport cu fosa temporală în sus
"
,"7. Segmentul posterior prin care osul malar se articulează cu vârful truncheat al apofizei zigomatice a maxilei
"
,"8. Segmentul posterior în raport cu fosa temporală în jos
"
,"9. Segmentul posterior in raport cu fosa infratemporală în sus
"
TRUE,"10. Cuprinde 2 segmente (anterior si posterior)
"
,
,"99. Canalul temporo-malar:
"
,"1. Incepe pe faţa laterala a apofizei frontale a osului zigomatic printr-un orificiu unic
"
TRUE,"2. Este un canal în formă de ,,Y,,
"
,"3. Un canal se deschide pe faţa antero-interna (foramen zygomatico-temporal) a osului
"
TRUE,"4. Se împarte în grosimea osului zigomatic în două canale secundare
"
FALSE,"5. Un canal se deschide pe faţa temporală a apofizei frontale, aproape de marginea anterioara(foramen zygomatico-facial)
"
TRUE,"6. Incepe pe faţa medială a apofizei frontale a osului zigomatic printr-un orificiu unic
"
TRUE,"7. Un canal se deschide pe faţa antero-exerna(foramen zygomatico-facial) a osului
"
,"8. Se împarte în grosimea osului zigomatic în 3 canale principale
"
TRUE,"9. Un canal se deschide pe faţa temporală a apofizei frontale, aproape de marginea anterioara(foramen zygomatico-temporal)
"
,"10. Este un canal în formă de ,,Z,,
"
,
,"100. Fata cutanată a oaselor proprii ale nasului:
"
TRUE,"1. Este fata antero-externa
"
,"2. Dă inserţie în partea sa infero-interna a muschiului piramidal al nasului (procerus).
"
,"3. Prezinta un orificiu (foramen nasale) situat în treimea inferioara prin care trece o venă mare
"
TRUE,"4. Prezinta un orificiu (foramen nasale) situat în treimea superioara prin care trece o venă mică
"
TRUE,"5. Este convexă în sens transversal
"
,"6. In sens orizontal este concavă superior si inferior
"
TRUE,"7. In sens vertical este concavă superior si inferior
"
TRUE,"8. Dă inserţie în partea sa infero-externa a muschiului piramidal al nasului (procerus).
"
,"9. Este fata antero-interna
"
,"10. Este concava în sens transversal
"
,
,"101. Marginea superioara a oaselor proprii ale nasului:
"
TRUE,"1. Formeaza sutura fronto-nazală
"
,"2. Este netedă
"
,"3. Formeaza sutura maxilo-nazală
"
,"4. Este subtire
"
TRUE,"5. Este groasă
"
,"6. Pe linia mediană, la intersecţia Oaselor nazale cu frontalul se găseşte punctul craniometric ophrion
"
,"7. Se articulează cu marginea inferioara a osului frontal
"
TRUE,"8. Pe linia mediană, la intersecţia oaselor nazale cu frontalul se găseşte punctul craniometric nasion
"
TRUE,"9. Este dantelată
"
TRUE,"10. Se articulează cu marginea anterioara a osului frontal
"
,
,"102. Marginea interna a oaselor proprii ale nasului:
"
,"1. Regulată,rugoasă şi mai groasă superior
"
TRUE,"2. Neregulată,rugoasă şi mai groasă inferior
"
,"3. Pe partea nazală prezinta o proeminenta voluminoasa numita creastă sagitală
"
TRUE,"4. Pe partea nazală prezinta o uşoară proeminenţă care împreună cu cea de partea opusă formează o mică creastă sagitală
"
,"5. Creasta sagitala se articulează de sus în jos cu spina nazală a frontalului, apoi cu lama verticala a etmoidului şi Cartilajul septului nazal
"
,"6. Se articulează cu osul maxilar
"
TRUE,"7. Creasta sagitala se articulează de sus în jos cu spina nazală a frontalului, apoi cu lama perpendiculară a etmoidului şi cartilajul septului nazal,
"
TRUE,"8. Creasta sagitala contribuie la formarea septului foselor nazale.
"
,"9. Creasta sagitala nu contribuie la formarea septului foselor nazale
"
TRUE,"10. Se articulează cu osul nazal de partea opusă
"
,
,"103. Despre fata laterala a oaselor lacrimale putem afirma:
"
,"1. Pe creasta lacrimala se inseră tendonul direct al muschiului orbicular al pleopelor
"
,"2. Posterior formează partea anterioara a peretelui extern al orbitei
"
TRUE,"3. Pe creasta lacrimala se inseră tendonul reflectat al muschiului orbicular al pleopelor
"
TRUE,"4. Posterior formează partea anterioara a peretelui intern al orbitei
"
TRUE,"5. Prezinta o creastă verticală numită creasta lacrimală posterioara(crista lacrimalis posterior) –
"
,"6. Conductul lacrimo-nazal face comunicarea dintre orbită şi fosa nazală de parte opusa
"
,"7. Prezinta o creastă orizontala numită creasta lacrimală posterioara(crista lacrimalis posterior) –
"
TRUE,"8. Anterior prezintă un şanţ vertical ce completează în sus foseta sacului lacrimal şi contribuie,în jos,la formarea conductului lacrimo-nazal;
"
,"9. Anterior prezintă un şanţ orizontal ce completează în sus foseta sacului lacrimal şi contribuie,în jos,la formarea conductului lacrimo-nazal;
"
TRUE,"10. Conductul lacrimo-nazal face comunicarea dintre orbită şi fosa nazală corespondentă
"
,
,"104. Osul palatin:
"
TRUE,"1. Se compune din două lame osoase subţiri
"
TRUE,"2. Are forma literei ,,L,,
"
,"3. Apofiza pterigoida se interpune între cele 2 lame, superioara şi inferioara ale pterigoidei
"
,"4. Se compune din două lame osoase late
"
TRUE,"5. Este un os pereche
"
,"6. Este un os pereche
"
,"7. La joncţiunea celor 2 lame,proemină anteriorapofiza piramidală
"
TRUE,"8. La joncţiunea celor 2 lame,proemină posterior apofiza piramidală
"
,"9. Are forma literei ,,X,,
"
TRUE,"10. Apofiza pterigoida se interpune între cele 2 lame, internă şi externă ale pterigoidei
"
,
,"105. Despre lama orizontala a palatinului putem afirma:
"
TRUE,"1. Marginea anterioara se articulează ,,în bizou,, cu marginea posterioara a apofizei palatine a maxilei
"
,"2. Marginea interna este neteda şi se articulează cu cea de partea opusă
"
,"3. Marginea anterioara se articulează ,,în bizou,, cu marginea anterioara a apofizei palatine a maxilei
"
TRUE,"4. Faţa inferioara netedă formează treimea posterioara a planşeului nazal
"
,"5. Marginea interna corespunde locului de unire a lamei orizontale cu lama verticală
"
,"6. Faţa superioară netedă formează treimea posterioara a planşeului nazal
"
TRUE,"7. Marginea internaeste rugoasă şi se articulează cu cea de partea opusă
"
TRUE,"8. Marginea exterioara corespunde locului de unire a lamei orizontale cu lama verticală
"
TRUE,"9. Faţa inferioară aparţine palatului dur, căruia îi formează pătrimea posterioara
"
,"10. Faţa inferioară aparţine palatului moale, căruia îi formează pătrimea posterioara
"
,
,"106. Osul zigomatic:
"
TRUE,"1. Contribuie la formarea orbitei
"
,"2. Are forma triunghiulara
"
TRUE,"3. Prezinta 2 feţe
"
,"4. Are 2 unghiuri
"
TRUE,"5. Are formă patrulateră
"
,"6. Este situat in partea inferioara a fetei
"
,"7. Prezinta 4 fete
"
TRUE,"8. Prezinta 4 margini
"
,"9. Este o lamă osoasă verticală
"
,"10. Este situat în partea post-lat a feţei
"
,
,"107. Despre marginea orbitara a zigomaticului putem afima că:
"
TRUE,"1. Formează partea infero-lateralaa rebordului orbitar
"
TRUE,"2. Prezinta tuberculul orbitar al lui Whitnall
"
,"3. Formează partea infero mediala a rebordului orbitar
"
TRUE,"4. Este concavă înăuntru şi în sus
"
TRUE,"5. Este marginea antero-superioara
"
,"6. Prezinta tuberculul orbital al lui Santorini
"
,"7. De pe această margine ia naştere o apofiză lamelară - apofiza maxilara
"
,"8. Este concavă înăuntru şi în jos
"
,"9. Este marginea antero-inferioara
"
TRUE,"10. De pe această margine ia naştere o apofiză lamelară - apofiza frontală
"
,
,"108. Osul lacrimal:
"
,"1. Este situat în partea posterioara a peretelui intern al orbitei
"
TRUE,"2. Este un os patrulater
"
,"3. Participa la formarea canalului lacrimo-maxilar
"
,"4. Os nepereche
"
TRUE,"5. Participa la formarea canalului lacrimo-nazal
"
TRUE,"6. Prezintă 2 feţe şi 4 margini
"
,"7. Este o lamă osoasă puternica
"
TRUE,"8. Este o mică şi fragilă lamă osoasă
"
TRUE,"9. Este situat în partea anterior a peretelui int al orbitei
"
,"10. Prezintă 2 feţe şi 2margini
"
,
,"109. Apofiza palatina a maxilarului:
"
,"1. Formă triunghiulara cu 3 fete
"
TRUE,"2. Faţa inferioară este rugoasă, formează împreună cu apofiza de partea opusă, ¾ anterioare ale palatului dur
"
,"3. Faţa inferioară este neteda, formează împreună cu apofiza de partea opusă, ¾ anterioare ale palatului dur
"
TRUE,"4. Faţa superioară este netedă, formează planşeul nazal
"
TRUE,"5. Marginea externă a apofizei palatine se uneşte cu corpul maxilarului
"
TRUE,"6. Formează cea mai mare parte a planşeului nazal şi a plafonului bucal
"
TRUE,"7. Are formă patrulateră, cu 2 feţe şi 4 margini
"
,"8. Faţa superioară este rugoasa, formează planşeul nazal
"
,"9. Formează doar planşeului nazal
"
,"10. Marginea interna a apofizei palatine se uneşte cu corpul maxilarului
"
,
,"110. Marginea internă a apofizei palatine:
"
,
FALSE,"1. Prin canalul palatin anterior trec ramul posterior al arterei sfeno-palatine şi nervul sfeno-palatin intern al lui Hirschfeld
"
,"2. Anterior de canalul incisiv, există uneori un şanţ fin –,sutura incisivă
"
,"3. Se articulează cu cea opusă şi formează sutura palatină medie
"
TRUE,"4. Din articularea celor 2 margini interne se formeaza creasta nazală situată pe faţa superioară a planşeului nazal, pe linia mediană.
"
,"5. Se articulează cu cea opusă şi formează sutura metopica
"
TRUE,"6. Prin canalul palatin anterior trec ramul anterior al arterei sfeno-palatine şi nervul sfeno-palatin intern al lui HIRSCHFIELD
"
,"7. Din articularea celor 2 margini interne se formeaza creasta nazală situată pe faţa inferioara a planşeului nazal, pe linia mediană.
"
TRUE,"8. Anterior, prezintă o semispină, care împreună cu cea de partea opusă formează spina nazală anterioară
"
TRUE,"9. Posterior de canalul incisiv, există uneori un şanţ fin –,sutura incisivă
"
,"10. Anterior, prezintă o semispină, care împreună cu cea de partea opusă formează spina nazală posterioara
"
,
,"111. Despre artera carotidă comună, se poate afirma că:
"
TRUE,"1. Este conținută în fascia carotică (teacă vasculară)
"
,"2. Emite două ramuri terminale, posterior de colul condilului mandibulei
"
TRUE,"3. Cea stângă are origine diferită față de artera carotidă comună dreaptă
"
,"4. Are traiect în spațiul retrostilian unde este însoțită de nervul vag
"
,"5. Artera carotidă comună dreaptă este mai lungă decât cea stângă
"
TRUE,"6. Este situată medial față de vena jugulară internă
"
TRUE,"7. Face parte din pachetul vasculo-nervos al gâtului
"
TRUE,"8. Se bifurcă în arterele carotidă externă și internă la marginea superioară a cartilajului tiroid
"
,"9. În regiunea cervicală emite șase ramuri colaterale
"
,"10. Are traiect în glanda parotidă unde are raport cu nervul facial
"
,
,"112. Despre artera carotidă externă, se poate afirma că:
"
TRUE,"1. Fața sa laterală este încrucișată de nervul hipoglos
"
TRUE,"2. Traiectul său descrie trei porțiuni
"
TRUE,"3. La originea sa, se găsește anterior și intern față de artera carotidă internă
"
,"4. Are traiect în spațiul prestilian unde este însoțită de nervul vag
"
,"5. În regiunea cervicală nu emite ramuri colaterale
"
,"6. Emite 6 ramuri terminale, posterior de colul condilului mandibulei
"
TRUE,"7. Se termină la nivelul marginii posterioare a gâtului condilului mandibulei
"
,"8. Are traiect în glanda submandibulară unde are raport cu nervul facial
"
,"9. Artera carotidă externă stângă este mai lungă decât cea dreaptă cu înălțimea trunchiului arterial brahiocefalic
"
TRUE,"10. Reprezintă artera feței, gâtului și a durei mater
"
,
,"113. Despre artera carotidă externă, în porțiunea subangulo-mandibulară se poate afirma că:
"
FALSE,"1. În această porțiune, se găsește în aria triunghiului lui Farabeuf
"
,"2. Este situată între trei planuri musculoaponevrotice
"
FALSE,"3. În această porțiune vine în raport cu nervul accesor
"
TRUE,"4. Vine în raport cu regiunea paraamigdaliană
"
TRUE,"5. Se apropie de peretele lateral al faringelui
"
TRUE,"6. Înăuntrul ei se găsește mușchiul stiloglos
"
TRUE,"7. Înăuntrul ei se găsește mușchiul stilofaringian
"
,"8. De la acest nivel se desprinde artera temporală superficială
"
,"9. De la acest nivel se desprinde artera maxilară internă
"
TRUE,"10. Înafara ei se găsesc burta posterioară a mușchiului digastric, mușchiul și ligamentul stilohioidian
"
,
,"114. Despre artera carotidă externă, în porțiunea cervicală (prima porțiune a arterei) se poate afirma că:
"
,"1. De la acest nivel se desprinde artera maxilară
"
,"2. De la acest nivel se desprinde artera temporală superficială
"
TRUE,"3. De la acest nivel se desprinde artera tiroidiană superioară
"
,"4. Vine în raport cu regiunea paraamigdaliană
"
TRUE,"5. Se găsește în loja carotidiană
"
TRUE,"6. În această porțiune, se găsește în aria triunghiului lui Guyon
"
TRUE,"7. În această porțiune, se găsește în aria triunghiului lui Farabeuf
"
TRUE,"8. Are raport cu nervul XII
"
,"9. Înăuntrul ei se găsește mușchiul stilofaringian
"
,"10. În această porțiune vine în raport cu nervul accesor
"
,
,"115. Despre drenajul venos al capului și gâtului, se poate afirma că:
"
,"1. Este asigurat de venele axilare
"
TRUE,"2. Este asigurat de venele vertebrale
"
